No;Province;Year;Stunting Prevalence;Poverty;Exclusive Breastfeeding;LBW;High School Completion;Proper Sanitation Access;Unmet need;GDP;Calory Consumption;Protein Consumption
56;WEST NUSA TENGGARA;2020;20.16;14.23;73.78;9.5;64.66;82.89;7.68;25184;2441.93365;73.65918324
57;EAST NUSA TENGGARA;2020;26.314;21.21;76.41;15.13;50.65;69.7;7.03;20057;1948.113817;54.87771665
58;PAPUA;2020;6.66;26.8;74.56;13.37;30.92;40.31;2.7;46416;1914.123469;46.52228498
59;WEST PAPUA;2020;13.292;21.7;59.96;16.83;61.49;78.71;3.33;73933;1902.708743;55.15570329
60;RIAU;2020;7.712;7.04;65.17;11.29;66.62;83.99;4.63;114167;2076.148487;59.4096675
61;WEST SULAWESI;2020;22.681;11.5;71.54;13.9;56.6;77.07;6.84;32837;2074.920105;57.70994381
62;SOUTH SULAWESI;2020;11.894;8.99;76.21;17.77;66.22;88.96;5.66;55675;2093.307037;61.47067548
63;CENTRAL SULAWESI;2020;13.719;13.06;61.97;15.09;57.68;74.61;7.52;66306;2039.835077;57.27969676
64;SOUTHEAST SULAWESI;2020;16.748;11.69;60.48;13.9;68.28;82.38;8.54;49718;2027.622402;60.94914863
65;NORTH SULAWESI;2020;5.324;7.78;58.6;11.19;73.79;85.49;4.68;50521;2152.319233;64.74286168
66;WEST SUMATERA;2020;17.515;6.56;70.36;8.09;67.11;68.11;4.13;43826;2109.932443;57.91876888
67;SOUTH SUMATERA;2020;2.264;12.98;68.06;11.1;65.42;76.94;5.36;53843;2127.773017;59.84504812
68;NORTH SUMATERA;2020;6.84;9.14;53.39;9.93;70.39;81.08;4.75;54979;2121.56937;62.56621373
69;ACEH;2021;12.067;15.53;66.66;15.73;74.36;77.55;4.29;34674;2171.129486;63.02060816
70;BALI;2021;4.973;4.72;68.51;10.91;75.86;95.95;2.42;50758;2196.809396;62.83840925
71;BANTEN;2021;6.672;6.5;71.17;14.66;66.9;82.89;4.29;55383;2259.076813;66.69026239
72;BENGKULU;2021;6.349;14.43;67.08;10.6;62.46;79.81;4.49;39167;2124.594488;58.90429419
73;DI YOGYAKARTA;2021;10.552;11.91;77;10.38;90.12;97.12;3.02;40516;2143.981228;65.24802371
74;DKI JAKARTA;2021;3.22;4.67;65.63;12.59;84.98;95.17;2.61;274660;2223.321436;70.50859652
75;GORONTALO;2021;8.541;15.41;52.75;14.04;53.73;78.58;6.45;37087;2009.235871;57.32255393
76;JAMBI;2021;3.016;7.67;71.37;13.04;64.51;80.36;3.85;64771;2140.541305;60.00579941
77;WEST JAVA;2021;8.277;7.97;76.46;11.96;64.89;71.66;3.86;45234;2213.983743;64.79315732
78;CENTRAL JAVA;2021;9.023;11.25;78.93;9.72;59.9;83.28;8.28;38568;2072.280168;59.28484277
79;EAST JAVA;2021;10.684;10.59;69.61;11.86;66.33;80.97;6.75;59988;2111.800482;60.6816725
80;WEST KALIMANTAN;2021;20.992;6.84;71.21;13.73;54.27;78.39;4.48;42253;1941.397542;56.99910461
81;SOUTH KALIMANTAN;2021;10.366;4.56;60.27;10.7;63.59;81.43;6.46;48066;2295.984574;69.3441523
82;CENTRAL KALIMANTAN;2021;10.836;5.16;55.98;14.37;61.04;73.77;4.18;62834;2194.45267;63.95181342
83;EAST KALIMANTAN;2021;11.82;6.27;75.87;15.06;74.26;89.77;2.61;183158;1981.642021;61.29480983
84;NORTH KALIMANTAN;2021;18.495;6.83;81;10.97;62.3;79.8;3.73;157092;2023.442297;64.8832963
85;BANGKA BELITUNG ISLANDS;2021;5.931;4.67;62.94;11.6;63.98;92.24;3.36;58406;2111.515204;64.63247883
86;RIAU ISLANDS;2021;7.55;5.75;58.84;9.4;81.07;91.62;2.25;131884;2149.335729;70.30673772
87;LAMPUNG;2021;6.097;11.67;74.93;11.92;60.09;83.89;3.89;40807;2097.214762;57.65320824
88;MALUKU;2021;6.797;16.3;61.32;13.64;68.12;76.77;4.45;26153;1874.880406;53.44873204
89;NORTH MALUKU;2021;13.007;6.38;66;20.33;66.95;77.11;5.41;40381;1862.15003;51.59340824
90;WEST NUSA TENGGARA;2021;21.702;13.83;81.46;12.09;65.71;82.85;8.49;26009;2542.975018;76.78800422
91;EAST NUSA TENGGARA;2021;22.616;20.44;81.18;14.94;44.88;73.36;7.37;20555;2020.329617;57.43741017
92;PAPUA;2021;10.13;27.38;74.08;13.37;32.95;40.81;2.95;54051;1879.70763;44.94188658
93;WEST PAPUA;2021;13.191;21.82;58.77;15.02;59.08;77.89;2.78;74022;1911.037293;54.82431239
94;RIAU;2021;6.032;7;70.29;10.75;68.94;83.64;3.2;129741;2079.526184;58.03702302
95;WEST SULAWESI;2021;19.326;11.85;74.75;13.81;56.22;80.12;6.98;35195;2098.409587;58.488208
96;SOUTH SULAWESI;2021;10.431;8.53;76.43;16.29;69.43;91.57;4.22;59503;2144.644391;63.23985261
97;CENTRAL SULAWESI;2021;13.222;12.18;65.93;17.55;61.16;76.06;6.25;82017;2008.553236;56.3000028
98;SOUTHEAST SULAWESI;2021;18.487;11.74;62.54;14.64;70.65;85.62;7.59;52436;2046.285565;60.9209379
99;NORTH SULAWESI;2021;2.959;7.36;61.09;12.22;68.56;84.85;3.19;54034;2109.12653;63.39257813
100;WEST SUMATERA;2021;15.093;6.04;74.16;10.07;70.06;68.68;3.26;45218;2135.299021;58.38654556
101;SOUTH SUMATERA;2021;4.406;12.79;69.93;11.18;67.2;77.29;3.32;57745;2232.10827;63.61839325
102;NORTH SUMATERA;2021;6.697;8.49;57.83;11.77;72.81;82.02;3.83;57442;2149.231934;63.26267124
103;ACEH;2022;8.004;14.75;65.88;15.48;70.67;77.48;6.83;38900;2064.29996;61.16659294
104;BALI;2022;4.453;4.53;66.52;10.46;76.59;95.94;2.75;56092;2145.712905;61.36874595
105;BANTEN;2022;6.826;6.24;71.7;14.57;66.02;85.12;5.34;61414;2270.481699;69.3146724
106;BENGKULU;2022;4.829;14.34;67.84;10.41;64.88;79.58;6.06;43757;2037.551785;60.29306667
107;DI YOGYAKARTA;2022;9.169;11.49;77.16;11.21;87.92;96.21;7.48;44637;2024.44292;62.6492232
108;DKI JAKARTA;2022;1.242;4.61;67.22;11.35;87.71;92.79;1.56;299675;2146.865046;68.15338257
109;GORONTALO;2022;7.49;15.51;53.6;13.41;45.12;79.82;8.89;39694;1958.110415;57.09796687
110;JAMBI;2022;4.062;7.7;72.68;12.94;65.85;79.54;6.56;76164;2069.511479;60.70195026
111;WEST JAVA;2022;6.866;7.98;77;12.64;67.05;74.02;6.62;49137;2115.695431;63.62160589
112;CENTRAL JAVA;2022;9.384;10.98;78.71;10.7;58.75;84.37;6.61;41946;2017.640477;59.78364929
113;EAST JAVA;2022;9.472;10.49;69.72;11.67;66.87;81.13;6.2;66247;2041.688615;59.96400512
114;WEST KALIMANTAN;2022;16.257;6.81;72.66;13.29;58.4;77.41;6.44;46092;1892.26201;58.18550695
115;SOUTH KALIMANTAN;2022;9.329;4.61;64.59;11.17;67.81;82.55;5.4;60244;2188.80408;68.00869141
116;CENTRAL KALIMANTAN;2022;10.133;5.22;55.26;14.93;61.88;74.33;5.18;72989;2116.05278;65.00664672
117;EAST KALIMANTAN;2022;13.516;6.44;76.58;16.3;74;90.33;5.34;238917;1918.33505;63.00287272
118;NORTH KALIMANTAN;2022;16.324;6.86;78.7;10.27;54.8;82.22;8.9;192588;1857.91704;59.73577066
119;BANGKA BELITUNG ISLANDS;2022;3.906;4.61;62.77;12.09;66.87;91.63;6.03;63872;2065.864231;67.57295839
120;RIAU ISLANDS;2022;4.898;6.03;62.4;10.2;73.93;87.74;3.96;145579;2019.871247;64.66545077
121;LAMPUNG;2022;4.521;11.44;76.76;12.72;62.42;83.65;7.33;44984;2002.722941;57.67450368
122;MALUKU;2022;9.835;16.23;59.62;13.41;72.08;76.47;4.11;28526;1836.681518;52.90788847
123;NORTH MALUKU;2022;12.262;6.37;68.83;19.19;67.1;79.39;5.19;53776;1843.675706;54.75539077
124;WEST NUSA TENGGARA;2022;18.538;13.82;79.69;12.36;61;83.12;9.98;28671;2460.435052;74.81875169
125;EAST NUSA TENGGARA;2022;22.367;20.23;78.56;15.58;38.47;73.7;7.22;21657;1974.124404;56.36386885
126;PAPUA;2022;8.441;26.8;74.18;13.13;39.01;40.34;2.16;59384;1902.04277;45.06653005
127;WEST PAPUA;2022;12.676;21.43;61.79;14.51;57.07;73.52;4.14;78133;1879.753181;55.3205321
128;RIAU;2022;4.167;6.84;69.51;11.12;66.91;84.06;5.82;151259;2022.049199;59.69248578
129;WEST SULAWESI;2022;23.127;11.92;74.67;14.28;55.18;78.88;8.5;37068;2082.993989;61.40084138
130;SOUTH SULAWESI;2022;9.038;8.66;75.88;17.3;68.32;92.24;7.15;65350;2077.921276;64.17670289
131;CENTRAL SULAWESI;2022;13.14;12.3;65.84;17.19;53.73;75.01;7.93;106068;2001.121663;58.12425663
